"relative_path","bytes","last_write_time"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0049.jpg","158937","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0050.jpg","174049","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0051.jpg","196979","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0052.jpg","209430","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0053.jpg","212547","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0054.jpg","214294","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0055.jpg","222762","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0056.jpg","228618","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0057.jpg","233506","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0058.jpg","234527","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0059.jpg","226240","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0060.jpg","234008","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0061.jpg","236189","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0062.jpg","218624","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0063.jpg","201202","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0064.jpg","201176","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0065.jpg","182378","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0066.jpg","188480","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0067.jpg","192986","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0068.jpg","184946","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0069.jpg","185865","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0070.jpg","182906","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0071.jpg","186629","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0072.jpg","175790","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0073.jpg","170714","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0074.jpg","178151","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0075.jpg","174825","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0076.jpg","169802","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0077.jpg","158072","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0078.jpg","173995","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0079.jpg","188252","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0080.jpg","189473","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0081.jpg","194372","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0082.jpg","194060","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0083.jpg","207532","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0084.jpg","213476","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0085.jpg","225776","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0086.jpg","225618","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0087.jpg","225058","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0088.jpg","224260","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0089.jpg","221328","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0090.jpg","213430","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0091.jpg","205671","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0092.jpg","200849","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0093.jpg","187471","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0094.jpg","181919","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0095.jpg","185196","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0096.jpg","182049","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0097.jpg","183907","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0098.jpg","178485","2026-05-13T03:42:01"
"datasets/extracted_frames/mobile_night_videos/2025-05-29/20250529_2050207/frame_0099.jpg","170726","2026-05-13T03:42:01"
